Locatie,Zona,Capacitate,Pret meniu/pers.,Atuuri,Categorie
Sergiana,"Centru, M. Kogalniceanu 15",pana la 100,180-300 lei,Traditional romanesc + terasa,In interval
Casa Bucur,Str. Poiana Ursului 49,50-100,la cerere,Evenimente private,In interval
Restaurant Intim,Str. Fuiorului 40,50-100,~120-250 lei,Meniuri traditionale,In interval
Prestigio Events,Str. Lacurilor 35,50-100,la cerere,Ballroom + terasa,In interval
Belvedere,Str. Stejerisului 11,pana la 80,250-400 lei,Panorama + gourmet,In interval
Naturalia Inn,Piata Unirii 4,35-80,la cerere,Natura + aer liber,In interval
Garden Club,Bd. Grivitei A48,pana la 80,la cerere,Complex hotelier,In interval
Sub Tampa,Aleea de sub Tampa,pana la 60,160-280 lei,Gradina intima,In interval
Restaurant 7 Soapte,langa padure,58 locuri,la cerere,Evenimente restranse,In interval
Dei Frati,Centrul vechi,pana la 50,200-350 lei,Italian + romantic,In interval
Bistro de l'Arte,Centrul vechi,pana la 40,220-380 lei,Decor artistic,In interval
Wolkendorf Hotel,Str. Helesteului,30-130,la cerere,Elegant + aer liber,Flexibil
Casa Romaneasca,Piata Unirii 15,pana la 120,la cerere,Rustic romanesc,Flexibil
Kasho,Sirul Livezii 1,50-150,la cerere,Oaza urbana verde,Flexibil
Diamant (Ghimbav),Str. Fagarasului 44,70-170,430-515 lei,Doua sali renovate,Flexibil
3 Stejari - Secular,Col. Kiss Sandor 102,70-140,la cerere,Padure seculara,Flexibil
Rosenau Events,Brasov,50-250,de la ~100 lei,Meniuri variate,Flexibil
