Firmă,Zona,Poziționare,Specializare,Prețuri publicate,Servicii & dotări
LKS Maison,Brașov (național),Premium „la cheie”,"Beton armat, skimmer, infinity, interioare",De la 18.000 €; skimmer 8×4 mozaic de la 24.000 €; beton C25/30 8×4 de la 28.000 €,"Proiectare 3D, autorizare, saune (de la 3.200 €), mentenanță (de la 350 lei/lună), execuție 4–14 săptămâni"
ROMPISCINE,Brașov + tot județul,Mid-premium,"Rezidențial + comercial, la cheie",Nepublicate — ofertă personalizată,"Consultanță gratuită, proiectare, execuție, finisaje, mentenanță"
EuroPiscine.ro,Codlea (județ Brașov),Low-cost / SEO,"Fibră de sticlă, liner, piscine interioare ecologice",Nepublicate; mesaj „cele mai mici prețuri”,"10+ ani experiență, materiale premium certificate UE, pagini SEO pe fiecare localitate"
Aquapiscine.ro,Brașov,Mid / produs,Monobloc fibră de sticlă,"San Marino 6×2,9×1,5 m: 41.900 lei; modele mari 55.990–87.990 lei","Vânzare, montaj, întreținere"
Stefani Pool Technology,Făgăraș,Producător,Monobloc fibră de sticlă (rasini poliesterice),Ofertă la cerere,"10+ ani în compozite; Google 4,4★ (45 recenzii)"
Eliapool,Brașov,Mid-premium,Piscine din beton proiectat,Ofertă la cerere,"8+ ani; cascade din piatră naturală, trambuline, spa, jacuzzi"
PIGORETY IMPEX SRL,Brașov,Distribuitor,Bazine fibră de sticlă — comerț + piese,Ofertă la cerere,Diverse capacități; piese de reparații
constructiepiscine.ro,Făgăraș,Mid-premium,"Toate tipurile, inclusiv hoteliere",Ofertă la cerere,"Centre spa, saune umede/uscate, piscine termale, apa sărată, jacuzzi"
AXAPool,Național (activ în Brașov),Premium HORECA,Piscine pentru hoteluri și spa,Ofertă la cerere,"Portofoliu național: Constanța, Cluj, Timișoara etc."
"Meșteri / firme mici (Daibau, HomeRun)","Codlea, Rupea, Brașov",Preț,"Montaj, excavare, execuție parțială",Lucrări 1.000–40.000 lei; montaj fibră 8.800–19.800 lei; beton la cheie 27.500–88.000 lei,"Fără brand, fără garanții extinse (~15 executanți pe platforme)"
